COGnum	F3NL2582	F3NL0496	F3NL1002	F2NL4627	F2NL2504
KOG3594	486877.5	595119.4	624619.8	830067.8	191171.8
KOG3624	73862	136638	137145	121027	298587
KOG3627	11156321.62	14188621.9	12076695.77	12791062.81	14445579.09
KOG3690	145088.8	80278	70540.5	195683	136906.16
KOG3714	183885.2	768653.8	339309.2	1102506.8	143176.9
KOG3770	12776.2	17689.1	NA	8132.75	29041.6
KOG3774	10472.8	23391.8	15048.6	11959.9	12024.5
KOG3776	NA	7490.68	10458.2	11464.8	3486.07
KOG3927	8309.33	6428.57	13722.2	NA	19354.9
KOG3977	39370.1	63265.9	47444.4	41678.2	24864.9
KOG3998	28919.5	13189.3	7591.06	5189.21	8359.06
KOG4087	606804.5	601545.48	922724.7	483262.9	736151.85
KOG4126	553596	931284	698835	686287	2888946.15
KOG4127	166415	218096	181447	121096	403711
KOG4229	NA	NA	NA	NA	7272.34
KOG4296	NA	3452.45	NA	4421.12	22866.7
KOG4297	30531.12	84199.67	72879.4	93180.96	159577.2
KOG4419	5579.47	8622.65	9447.67	10921.1	6960.08
KOG4475	17914.1	5875.5	19350.8	22791.1	1402.41
arCOG07796	1505.73	6066.72	NA	NA	NA
arCOG12631	NA	16952.7	45468.6	8631.56	NA
