KEGGnum	b14_02	b14_21
K01868	304239.3	5763.59
K01869	158490.99	26324.26
K01870	NA	2917.86
K01872	37688.5	15160.38
K01874	7899.97	6342.32
K01875	333936.1	38676.3
K01876	199998.9	9900.08
K01880	310450.1	162707.1
K01881	14215.5	2674.49
K01885	83184.3	NA
K01886	37031.7	7519.66
K01889	36725.9	9696.24
K01892	20428.1	NA
K01893	104175.1	31257.7
K01915	320748.1	242773
K01923	123525.07	35793.3
K01933	24010.8	NA
K01937	63055	17544.7
K01938	117385.7	393124.8
K01939	10303.1	23152.24
K01940	17922.6	NA
K01945	23215	3404.79
K01951	72521.18	27335.12
K01952	152322.8	105043.2
K01955	206220.85	40097.81
K01956	NA	2744.16
K01995	10732.6	NA
K02012	NA	6174.55
K02030	13962.6	NA
K02051	NA	1801.02
K02078	12136	43894.8
K02111	141343.8	27856.8
K02112	492752.4	191742.25
K02117	NA	3740.79
K02118	NA	32041.3
K02132	47740.8	23973
K02190	21539.5	18829.4
K02338	4891.83	6991.19
K02355	416006.89	301721.83
K02356	46381.6	10698.1
K02357	7577.67	21705.72
K02358	3248144.1	3128283.79
K02390	8235.64	NA
K02406	160924.61	916323.6
K02431	51073.1	57007.3
K02469	NA	33423.3
K02470	19168.7	9671.52
K02477	28014.3	NA
K02519	19520.8	28912.2
K02520	NA	11168.4
K02557	495262	NA
K02564	84586.9	8649.93
K02600	123359	NA
K02601	3629.65	NA
K02745	42815.7	1535.56
K02796	169612	NA
K02804	NA	3565.93
K02837	12254.9	12372.1
K02838	NA	2706.6
K02863	533417.4	11423.5
K02867	205957.3	305552.03
K02871	426062.3	50184.42
K02874	7725.42	32414.08
K02876	690824.54	54273.77
K02878	99132.5	NA
K02881	4214.9	47056.59
K02884	242874	120217
K02886	400563.13	139638.19
K02888	NA	35185.6
K02890	673843	369421
K02892	NA	10733.8
K02895	NA	47646.6
K02904	70535.9	70078.1
K02906	186194.5	281595.2
K02909	42439.9	NA
K02926	5593.36	47854.09
K02931	229506.02	286631.6
K02933	18086.9	15322.2
K02935	200195	576683
K02946	27451.2	17062.8
K02948	11688	NA
K02950	1043358	326683
K02952	24085.7	16745.7
K02961	8438.19	7722.04
K02965	199534.8	48648.9
K02967	253404.3	34621
K02970	49328.5	7516.04
K02982	343408	172036
K02986	32042.87	311312.9
K02988	115995	120416.9
K02990	16628.9	2889.79
K02992	476541.2	115517.8
K02994	389116.2	126872.04
K02996	12118.8	7132.5
K03040	122934.7	87909.5
K03043	686662.2	110799.83
K03046	499155.9	158668.24
K03070	112251	29399.6
K03076	44520.7	NA
K03077	24284.1	NA
K03100	61926.3	6418.85
K03106	NA	6110.42
K03111	4093.43	4825.97
K03147	39899.3	NA
K03218	NA	1872.01
K03286	NA	4229.09
K03310	19415.4	NA
K03324	9883.72	NA
K03340	NA	8584.15
K03431	4303.2	NA
K03442	NA	2612.89
K03521	328577.4	12700.9
K03530	164879	16928.3
K03531	126493	12188.7
K03545	127514	104431
K03553	48333.1	2412.2
K03569	113946	NA
K03612	NA	1633.42
K03615	8923.65	NA
K03628	67900.1	2310.79
K03654	25131.8	NA
K03695	185385.9	50647.89
K03704	51448.2	20171.2
K03718	NA	6668.39
K03737	2096040.21	573018.4
K03768	18673.5	14309
K03770	13916.7	30483
K03816	NA	2259.78
K03979	4844.08	NA
K04042	NA	5086.1
K04043	1371968.5	437619.53
K04072	154236	129394
K04077	490207.05	149952.82
K04079	43798.1	22214.56
K04488	NA	14848.9
K04567	159454.9	21441.29
K05349	NA	1609.67
K06001	NA	7445.34
K06023	10694.28	18601.9
K06076	8425.17	NA
K06217	NA	14989.7
K06871	11681.6	6002.85
K06942	4862.67	NA
K06969	13996.1	NA
K07030	5821	NA
K07080	15220.9	NA
K07107	46326.9	NA
K07263	NA	2794.35
K07390	12533.7	NA
K07576	31364.9	9583.66
K07775	25158.3	32478.9
K08301	37108.2	NA
K08659	5040.94	4925.99
K09013	26707.3	19137.2
K09014	15972.4	4407.26
K09759	82992.4	NA
K09810	38575.1	NA
K09955	9870.37	NA
K10112	94318.5	29292.43
K10192	4030.06	NA
K10200	55549.5	NA
K10240	57562.8	7143.33
K10254	50549.6	16761.82
K10441	7759.29	41758
K10540	396512	4331.18
K10542	62934.2	36815.2
K10672	5066.79	NA
K10914	123523	NA
K11085	11957	NA
K11176	17419.9	81629.05
K11932	39644.7	NA
K12373	12018.8	68368
K12524	101893	4407.4
K12573	25630.8	NA
K12574	12704.5	18072.4
K13922	NA	9950
K14534	18730.7	5440.23
K15533	18722.35	16314.63
K15580	NA	34372.7
K15633	78890.2	20314.1
K16150	10645.2	NA
K16370	15965.7	NA
K18119	8766.96	NA
K18139	NA	5090.25
K18331	NA	1250.85
K18682	129360.2	NA
K18700	6625.31	NA
K19339	143635	3651.35
K19824	115058	86496.4
K20038	NA	2250.22
K20509	6138.75	27934.2
K21071	72698.3	4781.72
K21571	NA	1211.29
K21572	11543.4	60859.56
K21574	3973120	50725.4
K21636	33911.9	NA
K22339	7296.72	6606.33
K22373	NA	11106.9
K25950	1683.91	5221.69
K26113	NA	5778.51
K27266	NA	6618.7
