KEGGnum	F3NL2582	F3NL0496	F3NL1002	F2NL4627	F2NL2504
K13625	28129.8	30261.4	15420.5	9968.37	11918.8
K13822	596584	103401	54218.7	112555	104523
K13823	NA	9225.21	NA	26689.7	NA
K13908	28214.9	44814	27915.8	36283.9	41121.47
K13912	369577	1021580	919719	628966	2141540
K13963	307473	529550	391641	173494	329372
K14073	44089	40808.7	161946	27559	128192
K14208	573763	412728	447675	683020	1870290
K14210	10634	23325.8	36943.1	11711.9	56123.4
K14365	77379.1	193294	99504.2	42277.4	89422.6
K14592	5543.43	8953.44	9550.05	10940.3	5721.35
K14677	16051	16610.7	32669	9895.78	37248.9
K15041	10217.3	7247.07	9754.13	9287.81	6957.82
K16141	132617	203390	161323	229810	78738.7
K16142	NA	7126.73	3475.01	20765.7	NA
K16502	418628	413786	300335	723236	77538.1
K16505	68249.5	167664	296243	94237.6	88486.1
K16646	1899.41	5145.09	3313.03	2585.12	5154.77
K17089	NA	NA	NA	NA	2831.38
K17091	NA	12594.9	NA	18141.3	184568
K17092	247113	353034	215350	455783	498633
K17093	31140.2	63898.9	52788.5	40848.1	102113
K17095	26429.4	42123.3	38198.1	24304.2	48314.3
K17255	NA	3650.18	NA	NA	2605.16
K17259	NA	NA	4391.43	5473.62	8312.25
K17277	NA	15195.1	NA	NA	45287.6
K17283	19749.7	87459.9	53770.4	148967	25276.5
K17285	37889.7	34803.8	26132.2	30121.7	23935.1
K17298	189542	360428	428356	195187	1150640
K17300	68521	109310	97469.8	80555.9	48864.5
K17527	927515	2075779	1541351	1547665	2610360
K17751	46876.4	86257.6	40644.7	73587	57877.2
K18152	8435.84	10586.8	9921.36	6010.43	NA
K18246	12359	15553.4	19493.1	18853.5	39024.5
K19719	44930.9	24750.8	21730.8	46567.2	NA
K19720	11534.4	18301.2	75523.4	80790.5	467768
K19867	9467.66	10105.8	NA	7348.28	14720.1
K19899	825489	11566.5	1265180	482598	980616
K19970	5579.47	8622.65	9447.67	10921.1	6960.08
K20349	8629.18	NA	5896.99	NA	4214.68
K20369	28919.5	13189.3	7591.06	5189.21	8359.06
K20731	NA	36126	35414.4	28365.9	22494.5
K21073	15017.3	18157.7	27302.2	NA	6633.46
K21100	NA	NA	13417.6	NA	NA
K21127	107030	1169550	379432	4077360	198292
K21128	25139.9	220969	83318.6	796534	44981.5
K21129	104206	314982	192709	187348	99304.4
K21868	NA	NA	NA	NA	2051.86
K22017	NA	NA	NA	NA	10740.3
K22023	6019.73	NA	13395.1	NA	24269.8
K22387	11335.8	10268.3	8428.31	NA	10562.9
K22453	135216	273674	168097	13419.6	3552000
K22970	NA	NA	NA	NA	19042.2
K23009	17934	27576.3	10316.5	15447.6	33149.2
K23113	3628.77	NA	NA	NA	NA
K23425	49923.3	96156.9	62168.7	46363.4	75067.4
K23430	13557.3	NA	NA	NA	5011.41
K23468	26562.8	15171.9	12000.4	9434.37	9121.23
K23594	4602.26	3729.64	NA	3855.59	3898.57
K23757	NA	NA	5491.87	NA	NA
