KEGGnum	b14_27	b14_01	b14_02	b14_10	b14_20	b14_21	b14_24
K12316	9071.3	5654.54	10859.9	NA	NA	7276.11	10956.4
K12354	215077	219257	230824	364305	236246	282324	378684
K12557	31544.2	33031	45181	23801.6	33329.6	21671.6	38315.8
K12567	23350.2	17914.1	5875.5	19350.8	22791.1	1402.41	20679.9
K13073	645262	472868	949499	1268480	1033100	1910290	1012150
K13197	NA	3614.26	NA	33845.9	25509.7	NA	6256.4
K13438	27201.5	16334.2	30498.3	NA	32794.6	25585.4	24209.7
K13625	20943.7	28129.8	30261.4	15420.5	9968.37	11918.8	27909.9
K13822	62282.1	596584	103401	54218.7	112555	104523	125597
K13823	NA	NA	9225.21	NA	26689.7	NA	12358.9
K13908	51863.6	28214.9	44814	27915.8	36283.9	41121.47	71006.1
K13912	592779	369577	1021580	919719	628966	2141540	1578300
K13963	222201	307473	529550	391641	173494	329372	475527
K14073	NA	44089	40808.7	161946	27559	128192	127026
K14208	449891	573763	412728	447675	683020	1870290	853708
K14210	NA	10634	23325.8	36943.1	11711.9	56123.4	17616.1
K14365	106204	77379.1	193294	99504.2	42277.4	89422.6	95612.8
K14592	NA	5543.43	8953.44	9550.05	10940.3	5721.35	9441.87
K14677	15359.2	16051	16610.7	32669	9895.78	37248.9	28470
K15041	18820.9	10217.3	7247.07	9754.13	9287.81	6957.82	13551.2
K16141	227726	132617	203390	161323	229810	78738.7	377924
K16142	9461.03	NA	7126.73	3475.01	20765.7	NA	6276.33
K16502	354345	418628	413786	300335	723236	77538.1	347646
K16505	7933.79	68249.5	167664	296243	94237.6	88486.1	125048
K16646	NA	1899.41	5145.09	3313.03	2585.12	5154.77	2733.08
K17089	3696.73	NA	NA	NA	NA	2831.38	2790.41
K17091	18390.9	NA	12594.9	NA	18141.3	184568	24933.8
K17092	246370	247113	353034	215350	455783	498633	381412
K17093	173417	31140.2	63898.9	52788.5	40848.1	102113	50391.2
K17095	41526.9	26429.4	42123.3	38198.1	24304.2	48314.3	44995.2
K17255	NA	NA	3650.18	NA	NA	2605.16	NA
K17259	8352.87	NA	NA	4391.43	5473.62	8312.25	7362.11
K17277	33332.7	NA	15195.1	NA	NA	45287.6	35161.5
K17283	115330	19749.7	87459.9	53770.4	148967	25276.5	75707.9
K17285	25100.7	37889.7	34803.8	26132.2	30121.7	23935.1	38352.5
K17298	332228	189542	360428	428356	195187	1150640	465951
K17300	20613.3	68521	109310	97469.8	80555.9	48864.5	70735.6
K17527	751752	927515	2075779	1541351	1547665	2610360	1592039
K17751	38120.1	46876.4	86257.6	40644.7	73587	57877.2	73079.2
K18152	NA	8435.84	10586.8	9921.36	6010.43	NA	NA
K18246	16938.5	12359	15553.4	19493.1	18853.5	39024.5	15036.8
K19719	36970.3	44930.9	24750.8	21730.8	46567.2	NA	36026.9
K19720	95316.8	11534.4	18301.2	75523.4	80790.5	467768	132160
K19867	NA	9467.66	10105.8	NA	7348.28	14720.1	8402.7
K19899	842327	825489	11566.5	1265180	482598	980616	990210
K19970	6994.23	5579.47	8622.65	9447.67	10921.1	6960.08	7457
K20349	NA	8629.18	NA	5896.99	NA	4214.68	NA
K20369	NA	28919.5	13189.3	7591.06	5189.21	8359.06	7226.9
K20731	7891.63	NA	36126	35414.4	28365.9	22494.5	34722
K21073	NA	15017.3	18157.7	27302.2	NA	6633.46	14590.6
K21100	NA	NA	NA	13417.6	NA	NA	14427.2
K21127	2088410	107030	1169550	379432	4077360	198292	868520
K21128	466402	25139.9	220969	83318.6	796534	44981.5	177624
K21129	264108	104206	314982	192709	187348	99304.4	209449
K21868	NA	NA	NA	NA	NA	2051.86	NA
K22017	NA	NA	NA	NA	NA	10740.3	6439.91
K22023	8496.22	6019.73	NA	13395.1	NA	24269.8	17868.2
K22387	NA	11335.8	10268.3	8428.31	NA	10562.9	13092.1
K22453	590049	135216	273674	168097	13419.6	3552000	1010890
K22970	NA	NA	NA	NA	NA	19042.2	NA
K23009	16480	17934	27576.3	10316.5	15447.6	33149.2	23382.1
K23113	NA	3628.77	NA	NA	NA	NA	12644.8
K23425	68133.3	49923.3	96156.9	62168.7	46363.4	75067.4	77890.8
K23430	NA	13557.3	NA	NA	NA	5011.41	9495.34
K23468	26506.5	26562.8	15171.9	12000.4	9434.37	9121.23	20437.9
K23594	NA	4602.26	3729.64	NA	3855.59	3898.57	4202.9
K23757	6594.98	NA	NA	5491.87	NA	NA	2583.84
K23879	NA	NA	3452.45	NA	4421.12	22866.7	8893.77
K23902	NA	NA	NA	NA	NA	16352.4	11530.6
K24057	NA	NA	NA	NA	NA	6798.03	3550.84
K24205	16305.9	NA	8752.87	NA	NA	13982.6	9369.57
K24220	139115.2	217562.6	282683.8	137084	137563.7	105431.6	244629.6
K24332	NA	7170.56	10399.9	12641.3	6942.07	7405.64	9036.08
K24524	NA	NA	NA	NA	NA	7744.89	7176.19
K24665	70762.1	25225.6	121892	60135.6	239404	24699.1	65106.2
K24793	339506	358939	172888	284284	243980	323548	358884
K25447	NA	12587	12246.7	14319.7	23678.6	10104	12886.3
K25567	421912	274572	888757	1002100	750768	1576750	901150
K25717	54602.5	21634.9	93286.7	89638.6	882341	25160	134819
K25722	NA	6609.02	31763.1	24984	9752.66	47019.8	24393.8
K25727	383354	NA	8163.57	16078.8	83428.3	80548.6	175276
K25747	1117050	638237	987102	705751	940787	562017	879544
K26099	28513.3	7097.06	17220.4	15604.3	6198.43	39164.9	13850.6
K27382	172434	96718.3	117775	107584	82826.9	50507.6	115814
