COGnum	b14_27	b14_01	b14_02	b14_10	b14_20	b14_21	b14_24
COG0172	118768.8	234793.7	333936.1	144559.7	200245.6	38676.3	79887.12
COG0173	31924	93215.5	199998.9	8559.96	73359.2	9900.08	22912.76
COG0176	118696.3	107882.7	67194.9	123625.8	143536.9	32772.48	101692.2
COG0180	NA	21574.2	4278.22	NA	12392.9	9862.42	12367.7
COG0183	9567.76	16543.8	44726.6	13589.6	16071.6	3183.53	10563.4
COG0185	91426.2	379481	199534.8	80105.4	199034.5	48648.9	59437.8
COG0186	4725.51	32326.9	8438.19	68404.8	27670.6	7722.04	7002.12
COG0187	NA	15651.6	19168.7	NA	41774	9671.52	NA
COG0188	NA	34826.6	NA	10637.8	11550.4	33423.3	41277.5
COG0190	NA	22336.6	NA	36242.6	22165.8	15859.1	NA
COG0191	800936.8	1577419.3	3128550.1	732502.4	1151286.4	383571.43	796694
COG0192	36380.4	70622.6	60986.6	64097.9	39844.2	17567.4	13590.8
COG0195	20331	65278.2	123359	NA	61498.9	NA	NA
COG0197	18206.5	168517	99132.5	14819.8	101263	NA	5272.91
COG0198	23494.5	NA	NA	NA	NA	47646.6	26275.1
COG0200	223397.7	479381.35	690824.54	172102.15	355704.5	54273.77	100454.72
COG0201	42833.9	40427	44520.7	29641.95	35229.3	NA	15348
COG0202	125649	148062.9	122934.7	101412	121376	87909.5	107657
COG0205	366864.75	611055.4	633537	519579.5	577211.63	88464.32	368386.4
COG0206	173212	266353	126493	121418	131543	12188.7	79126.8
COG0209	17241.3	12066.4	NA	NA	NA	NA	8641.29
COG0222	411247.2	926957	200195	325257.3	238541.6	576683	586517.1
COG0231	8312.59	11184.2	46381.6	13504.8	24502.9	10698.1	13293.3
COG0233	12880.7	NA	NA	21557.3	NA	2706.6	NA
COG0235	NA	NA	24284.1	18509.2	NA	NA	NA
COG0236	79443.4	23423	12136	27540	NA	43894.8	24792.9
COG0242	5703.09	NA	13197.7	11389.9	9986.93	7204.87	13030.76
COG0246	48573.4	88672.7	57965.1	47739.6	59841.3	44077.5	44251.6
COG0250	NA	9198.08	3629.65	7741.5	4102.13	NA	2282.39
COG0254	44909.1	59492.8	42439.9	56845.3	NA	NA	23848.9
COG0255	65030.2	171697	70535.9	394565	191442.74	70078.1	87812.86
COG0256	26914.2	38062.33	4214.9	44140.3	40238.46	47056.59	29579.1
COG0261	6026.06	219844	NA	35627.1	NA	35185.6	9929.41
COG0264	NA	125315.43	7577.67	259047.76	15387.25	21705.72	49674.65
COG0277	NA	NA	NA	7081.56	11468.7	5778.51	NA
COG0278	NA	NA	12533.7	NA	NA	NA	NA
COG0280	268741.9	361034.4	184397.6	552437.45	378069.5	173648.47	253415.8
COG0281	67342.2	119411.1	173257.9	83235.74	69898.8	38163.67	44725.19
COG0282	218547.51	180137.4	137864.2	207527.61	324179.7	114406.85	155300.69
COG0290	NA	NA	NA	NA	4773.69	11168.4	NA
COG0295	NA	NA	NA	NA	8149.7	NA	7592.2
COG0313	NA	NA	NA	6354.59	NA	NA	NA
COG0317	NA	NA	NA	8292.89	NA	NA	NA
COG0326	5296.99	83731.1	43798.1	37685	89258.34	22214.56	27407.1
COG0329	NA	16097.2	NA	26681.44	23461.8	23422.29	9330.26
COG0330	48555.56	200384.74	128377.21	54798.3	75090.01	7798.75	27783.29
COG0331	NA	NA	NA	NA	NA	2930.79	NA
COG0334	2476801.5	2411089.75	1728618.01	2618643.13	2534823.29	1098394.07	2267227.87
COG0335	59681.9	124303	242874	264269	123503	120217	97557.4
COG0343	NA	14313.3	27258.4	7589.43	10925.5	NA	6530.37
COG0348	62357.8	NA	143635	22922.8	62015.1	3651.35	18753.1
COG0351	10632.4	36110.1	39899.3	20678.5	36984.6	NA	17281.3
COG0360	NA	NA	16628.9	NA	2193.68	2889.79	2554.91
COG0363	18034.8	42713.8	84586.9	5461.3	28463.2	8649.93	11661.1
COG0366	50248.91	56427.7	269692.7	88638.11	203116.36	8760.75	47613.42
COG0367	24431.5	27560.6	NA	42235.4	NA	NA	6742.93
COG0371	NA	NA	NA	9773.54	6436.41	12029.1	13718.8
COG0372	NA	NA	6330.89	NA	8447.34	NA	NA
COG0396	10557	NA	26707.3	15412.5	13069	19137.2	23014.8
COG0411	NA	NA	10732.6	7094.4	NA	NA	6485.21
COG0422	10632.4	36110.1	39899.3	20678.5	36984.6	NA	17281.3
COG0423	427145.4	263708	310450.1	306666.6	262362.2	162707.1	254207.3
COG0426	73548.9	65032.6	41881.9	177136.14	83464.74	26361.3	51753.83
COG0427	NA	20481.4	NA	NA	NA	NA	17915.2
COG0436	NA	NA	NA	24353	NA	NA	NA
COG0438	NA	14331.6	10645.2	NA	6838.66	NA	NA
COG0440	NA	20862.7	12221.6	42783.55	21074.6	3774.43	14527.3
COG0441	93399.52	264277	304239.3	100083.43	167554.67	5763.59	47720.21
COG0442	NA	32456.9	14215.5	4816.72	33278.5	2674.49	14962.9
COG0443	835059.6	1069106.06	1371968.5	1323781.3	1375200.4	437619.53	821079.96
COG0446	NA	NA	NA	10560.2	NA	NA	NA
COG0447	NA	56299	54544.1	NA	NA	NA	NA
COG0448	46922.4	49012.3	23961.8	49601.54	49106.6	19425.1	43886.3
COG0457	11235.1	38823.95	101526.9	23486.1	17778	30424	27813
COG0458	95263.32	232042.1	206220.85	127662.2	139054	40097.81	55418.08
COG0459	915003.55	812599.77	490207.05	1151336.81	580689.4	149952.82	466104.59
COG0460	33540.5	97361.9	101893	30627	74026.4	4407.4	16613.8
COG0462	NA	NA	NA	NA	NA	5817.52	NA
COG0466	NA	22420.1	22474.5	NA	19213.9	NA	21554.3
COG0468	20302.9	35718.2	48333.1	19477.7	41445.5	2412.2	20321.1
COG0473	NA	27130	35887.6	NA	16330.8	NA	NA
COG0474	NA	10859.7	7400.54	NA	26661.2	NA	10665
COG0479	92880.4	197688.74	49573.3	109261.57	65433.4	129793.8	127199.27
COG0480	523009.97	731591.93	416006.89	1334317.48	767505.42	301721.83	380632.73
COG0488	10653	9924.28	20965.4	NA	15122.2	7145.39	NA
COG0493	105162.7	169686.8	54265.13	208118.07	168124.45	60515.86	80977.4
COG0495	41998.4	76127.4	158490.99	35004.07	95152.8	26324.26	58844.4
COG0498	NA	12642.3	NA	NA	7731.01	NA	NA
COG0502	NA	6474.49	NA	8686.78	NA	NA	NA
COG0503	NA	18824	NA	12993	NA	2259.78	5625.19
COG0504	17388.6	NA	63055	23727.9	25287.2	17544.7	31264
COG0505	NA	4517.97	NA	NA	NA	2744.16	3266.95
COG0514	8133.94	11674.5	25131.8	5542.27	11186.6	NA	5902.23
COG0515	20153.1	13185.9	NA	23401.5	NA	NA	NA
COG0516	565331.6	1588019.2	1051744.89	1287072.2	814296.1	425648.23	843586.7
COG0517	565331.6	1588019.2	1051744.89	1287072.2	814296.1	425648.23	843586.7
COG0518	NA	6280.98	8683.8	NA	NA	2444.94	NA
COG0519	64580.9	83608.68	72521.18	98178.95	75388.5	27335.12	59374
COG0521	NA	NA	NA	NA	20438.3	NA	NA
COG0522	111696.4	223931.7	32042.87	471307	195168.7	311312.9	142040.8
COG0524	6125.32	61433.8	67909.5	14192.6	72138	9945.22	10800.2
COG0527	33540.5	97361.9	101893	30627	74026.4	4407.4	16613.8
COG0532	15003.9	59055.8	19520.8	65017	41062.9	28912.2	16125.3
COG0536	NA	4930.94	4844.08	NA	NA	NA	NA
COG0538	38226.85	19355.74	82063.38	NA	NA	NA	17302.5
COG0539	18559.4	NA	NA	NA	NA	NA	NA
COG0540	68573.5	64852	38907.6	111571	98137.4	22461.5	53222.2
COG0541	NA	NA	NA	6089.73	5171.43	6110.42	10025.61
COG0542	45035.3	115654.11	185385.9	101407.4	137166.96	50647.89	57657.1
COG0543	NA	2266.45	2038.67	NA	3570.74	NA	NA
COG0544	56935.1	11990	127514	67214.4	60748.1	104431	114740
COG0550	NA	NA	NA	NA	6266.81	NA	NA
COG0552	NA	NA	NA	9685.58	NA	NA	NA
COG0554	NA	30243.1	NA	17421.8	44098.5	NA	31688.1
COG0556	NA	17189.6	NA	17048.6	14847.9	NA	NA
COG0557	NA	20810.1	25630.8	NA	15805.6	NA	NA
COG0561	11475.5	NA	NA	5552.08	NA	5847.06	9636
COG0562	NA	16771.7	14924.65	16756.4	24763.93	NA	8387.03
COG0563	37874.9	104700.3	352917	170846.7	87656.14	34341.75	51121.57
COG0566	NA	NA	NA	NA	4623.81	1872.01	1655.88
COG0568	NA	4727.31	NA	5322.53	NA	NA	2676.97
COG0574	1940972.7	2538919.2	1805076.1	3107172.98	2550748.3	846514.36	1720138.3
COG0589	NA	NA	39644.7	NA	NA	NA	NA
COG0592	5087.67	8873.6	4891.83	13241.05	2798.56	6991.19	6830.18
COG0595	26494.8	31466.9	12704.5	32525.83	25479.4	18072.4	30819.7
COG0607	NA	NA	NA	10560.2	NA	NA	NA
COG0612	NA	NA	NA	NA	NA	2794.35	NA
COG0620	22009.6	13468.5	18207.6	19643.3	NA	9255.67	12420.1
COG0623	19655.4	45261.3	82211.7	24834	69968.9	NA	18083.1
COG0624	NA	NA	NA	NA	5453.86	NA	NA
COG0629	7599.86	8358.31	4093.43	17733.5	7334.92	4825.97	NA
COG0636	17999.1	67510.9	43825.5	14145.2	16655.7	NA	9571.58
COG0641	8555.35	11056.7	11681.6	10295.8	12719.6	6002.85	7587.46
COG0652	20092.8	31231.6	18673.5	50335.2	32986.8	14309	32418.2
COG0653	97688.3	152023.8	112251	118644.5	107013.4	29399.6	53752.8
COG0664	NA	NA	123523	NA	NA	NA	NA
COG0673	NA	19473.6	NA	NA	NA	NA	11532.2
COG0674	1268177.3	2811718.46	2096040.21	2387869.7	2615914.1	573018.4	1117514.7
COG0681	11977.7	85269.2	61926.3	24998.3	56977.6	6418.85	9728.52
COG0696	15440.3	98765.7	78890.2	48484	99775.8	20314.1	15306.6
COG0698	6166.19	9288.18	9805.9	10768.9	9537.13	NA	9188.65
COG0702	11658.4	NA	NA	19128.6	12443.8	24588.5	30806.9
COG0715	NA	NA	NA	NA	NA	1801.02	NA
COG0719	NA	14456.1	15972.4	NA	13762.7	4407.26	NA
COG0745	66936.6	72179.37	42866.6	70167.3	61246.32	42967.9	58480.96
COG0760	27814.4	47564.2	13916.7	19223.8	NA	30483	26191
COG0776	NA	25826.9	164879	41222	34420.6	16928.3	NA
COG0800	8479.26	16255.6	5985.28	4830.09	NA	10903.7	20290.3
COG0804	72397.2	15069.5	67520.5	49790.7	NA	94498.8	71583.6
COG0822	701944.62	1198454.7	873192	996243.6	784507.7	590822.42	809693.74
COG0823	23102.2	23247.3	31638.2	17310.7	13157.1	18298.7	36473.6
COG0824	NA	29358.1	46326.9	NA	20619.6	NA	NA
COG0826	2427.42	4935.37	NA	NA	3431.99	NA	NA
COG0828	4073.37	54663.5	49328.5	38764.44	39195.7	7516.04	12897.61
COG0834	8827.82	11004.2	13962.6	NA	21191.7	NA	9021.7
COG0840	NA	3986.01	NA	1094.53	NA	NA	1965.31
COG0841	NA	NA	NA	11154	NA	NA	NA
COG0845	NA	NA	NA	3394.13	2803.46	NA	NA
COG1004	10952.5	6299.2	8050.77	NA	6894.93	NA	7397.71
COG1012	190641.06	325211.3	171806.17	212805.9	463847.71	139344	255116.23
COG1013	1272232.88	2831774.51	2115541.51	2387869.7	2615914.1	574473.27	1117514.7
COG1014	1268177.3	2811718.46	2096040.21	2387869.7	2615914.1	573018.4	1117514.7
COG1024	47581.8	31630.6	117294.7	23346.1	21768.28	13789.9	43309.7
COG1028	76210.5	30793.4	40865.4	25035.3	38909	60359.5	76532.1
COG1043	NA	12445.5	15416.9	NA	6814.8	NA	NA
COG1048	28746	65369.2	47750.2	73045.32	84050.4	14017.14	26912.6
COG1053	448198.9	812144.1	100951.3	376045.9	157695.9	299571.8	322091.4
COG1063	53554.8	209738.4	76401.7	300345.3	183021	84340.4	106211.6
COG1070	8822.32	84629.6	12618.92	106763.6	58749.4	7382.93	26892.87
COG1077	58186.6	53382.8	113946	43160.5	64561.8	NA	72202
COG1080	1940972.7	2541490.95	1805076.1	3116747.41	2554699.22	846514.36	1723209.2
COG1082	127638.7	78670.9	2556520	58345.4	41641.5	58974.45	146883.9
COG1087	40561.9	109015.58	132044.22	75610.99	81974.28	18245.86	63447.99
COG1088	42874.68	57685.6	161739.78	89850	175730.17	48871.9	91483.7
COG1089	36154.7	75749.5	158086	30585	72585.5	60052.8	26969.7
COG1091	18196.5	30011.6	30004.1	36134.9	37237.1	NA	33619.9
COG1092	NA	NA	13996.1	NA	1347.91	NA	NA
COG1105	10567.5	26678.5	15965.7	6775.68	46818	NA	21534.5
COG1109	11785.7	50018.6	9518.09	7666.62	28760.87	20250.84	23689.41
COG1115	18663.7	19213	19415.4	14792.8	15448.2	NA	11824
COG1129	82023.3	234780.4	70693.49	258483.4	136107.2	78573.2	98024.62
COG1132	14693.2	33870.2	11957	NA	12540.2	NA	5069.4
COG1135	NA	NA	NA	10375.8	NA	NA	NA
COG1136	NA	47753.3	38575.1	10662.6	19767.6	NA	5555.59
COG1143	98585.6	172292	57984.5	40911.8	54107.5	167784	142734
COG1145	756389.3	1700123.3	1747817.4	553748	1568936.5	38592.2	631759.2
COG1148	NA	NA	NA	13855.8	5716.15	NA	NA
COG1154	NA	9441.64	6276.95	NA	6751.16	NA	NA
COG1155	NA	4024.34	NA	5280.89	NA	3740.79	4569.45
COG1156	42156.5	33844.6	NA	15617.1	17912.4	32041.3	26424.3
COG1158	6700.9	42659.4	67900.1	14081.15	24981.7	2310.79	19294.61
COG1160	NA	NA	NA	NA	NA	NA	4064.69
COG1167	235034	225509	231437	301339	186133	155557	188115
COG1185	154301.9	211262.4	157864.2	195205.1	179074.82	48732	126126.2
COG1190	64596.8	172949.9	159454.9	101015.58	120794.6	21441.29	70089.59
COG1196	48824.6	7526.6	8608.9	23808	NA	51664.7	99499.9
COG1207	NA	10068.1	NA	23846.5	10132.7	5086.1	NA
COG1209	104517	190957.2	382751	139700.3	217824.3	116171.4	154303.1
COG1212	NA	NA	76977.1	NA	NA	NA	21526
COG1227	NA	NA	NA	4917.06	NA	NA	NA
COG1236	35485.7	56010.9	31364.9	42416.1	70486.6	9583.66	50997.7
COG1256	31168.3	7526.6	8608.9	128933	NA	51664.7	95544.1
COG1263	55845	156658	NA	NA	NA	3565.93	25605.3
COG1264	55845	156658	NA	NA	NA	3565.93	25605.3
COG1274	18349.5	18315.3	NA	10095.7	59635.1	7985.55	11320.4
COG1278	21283.5	29142.6	51448.2	123853	19457.4	20171.2	14196
COG1283	NA	7211.01	9883.72	3197.35	10316.4	NA	NA
COG1328	13665.1	29686.8	33911.9	18967.3	17514.7	NA	9098.87
COG1344	1271493.4	743231.05	160924.61	894525.8	511893.1	916323.6	989969.84
COG1350	45166.7	NA	NA	23780.3	6894.56	7445.34	11119.3
COG1360	72956.3	81704.8	495262	41436.6	299084	NA	NA
COG1362	117769	91940.8	54991.4	96379.9	112508	21168.3	148144
COG1395	75658.1	NA	NA	143315	196325	NA	46531.8
COG1404	10647.4	102901	68029.7	9895.46	33120.6	NA	16148.7
COG1418	80624.9	380415	129360.2	NA	100753	NA	13694.6
COG1454	514788.5	815695.9	647595.2	675066	999315.4	143843.12	677832.9
COG1461	4553.89	11192.1	5821	6327.24	7681.55	NA	2086.61
COG1472	NA	NA	NA	3162.61	NA	1609.67	1445.17
COG1486	5820.62	7948.9	10120.3	33466.4	9678.32	30335.9	17051.1
COG1493	NA	7971.56	10694.28	51239.7	32439.9	18601.9	13280.8
COG1506	23102.2	23247.3	31638.2	17310.7	13157.1	18298.7	36473.6
COG1511	NA	15930.8	NA	NA	NA	NA	NA
COG1522	6199.77	8796.97	NA	NA	NA	6668.39	12812.7
COG1530	NA	48738.7	37108.2	NA	29984.2	NA	NA
COG1538	NA	10998.7	NA	NA	NA	5090.25	6423.13
COG1592	2585620.65	2289731.63	2595100.6	2190988.8	2324125.7	1000730.6	2446083.7
COG1621	NA	NA	6858.12	13449	4467.93	NA	NA
COG1629	58404.08	645203.1	8550.73	9341.1	72553.55	1795.68	84630.32
COG1640	NA	7594.35	11595	3961.89	14153.6	NA	5664.6
COG1652	NA	NA	NA	7204.57	8150.69	NA	5308.27
COG1653	166373.7	445159.73	117142.36	566268.36	244439.27	21028.03	284529.56
COG1702	91033.4	78598.4	NA	63487.8	44108.8	14989.7	36382.4
COG1726	174111.03	191021.5	22724.71	225572.59	21939.42	148799.33	215990.64
COG1744	NA	NA	NA	NA	25343.4	NA	NA
COG1748	87668.2	87113.9	136562	35596.8	87202.5	5267.46	26907.9
COG1749	22260.9	24244	8235.64	99469.9	13375.5	NA	37546
COG1773	442417.9	224507.6	69273.5	465141	90672.4	151543.3	178973.4
COG1775	NA	8631.25	NA	NA	NA	NA	NA
COG1840	NA	10276.1	NA	NA	NA	6174.55	7461.37
COG1842	3956.33	NA	NA	12379.3	NA	NA	NA
COG1853	73548.9	107154.7	41881.9	180125.06	83191.02	26361.3	62453.4
COG1866	518047.02	1371899.3	2089052.1	1256231.4	1288702.6	896771.4	1466591.8
COG1879	342612	352838	396512	735717	371754	4331.18	382239
COG1882	1036491.01	605375.26	393356.91	855696.79	587268.84	693814.76	745353.22
COG1883	71170.5	32708.1	6138.75	31139.8	10446.5	27934.2	62224.8
COG1884	66529.7	259708.2	474253.1	85079.9	258599	56910	160775.4
COG1894	12279.2	61457.6	20010.92	130543	56865.4	15175.26	14821.65
COG1898	17311.9	15720.6	20718.4	13609.1	24351.2	NA	25539
COG1904	84780.4	89105.1	80845.3	45093.4	116978	31135.1	90040.6
COG1924	NA	NA	NA	NA	9991.19	NA	NA
COG1932	67812.6	78379.6	77044.2	113370.63	68284.4	64216.7	69920.16
COG1951	NA	NA	10210.5	NA	10462.8	NA	6749.92
COG1960	135208.3	104015.2	84315.65	122328.12	202625.42	62877.3	134168.8
COG1978	NA	NA	NA	29334.2	17990.6	NA	10714.4
COG2013	NA	NA	NA	15881.3	16061.6	NA	10592.5
COG2017	NA	NA	15968.5	NA	7759.46	NA	NA
COG2025	2691.05	69175.8	49496.6	21722.83	53824.7	2138.21	19013.45
COG2067	NA	31743.1	8425.17	6633.92	10574	34313.7	56391.9
COG2077	NA	7262.55	NA	NA	NA	NA	NA
COG2086	320135.1	605673.18	462349.4	285955.78	449410.24	15459.98	193158.3
COG2115	NA	11967.5	7470.31	NA	NA	NA	12978.8
COG2120	18034.8	42713.8	84586.9	5461.3	28463.2	8649.93	11661.1
COG2145	NA	NA	15614.4	NA	NA	NA	9844.18
COG2152	NA	11889.2	NA	NA	NA	NA	20390.6
COG2160	10565.6	163180.4	38668.72	118497.92	97274.1	52635.6	156300.9
COG2182	12613.1	20452.5	NA	19943.28	NA	NA	13343.66
COG2195	NA	22489.1	81545.1	NA	32337.6	11624.8	23939.2
COG2217	NA	NA	NA	14670.4	NA	NA	NA
COG2235	7133.28	6560.76	6768.8	9173.49	13358.6	NA	6049.56
COG2252	1819.59	3239.23	NA	3585.48	3838.14	NA	2143.73
COG2259	28538.3	183278	214701	65258.4	171092	1424.97	33503.1
COG2310	NA	14693.8	10438.9	32573.2	NA	10602.6	10792.6
COG2344	NA	21506.6	NA	27788.9	18675.5	8584.15	NA
COG2358	NA	4490.23	15220.9	NA	NA	NA	NA
COG2368	11235.2	14190.2	18730.7	6061.43	23100.3	5440.23	12365.8
COG2373	41201.6	99169.3	51776.9	425717.7	59407.8	91322.8	96997.2
COG2374	23260.6	8594.66	NA	76764.5	30554.6	NA	56059.9
COG2407	385942	407869.5	111802.4	697570.3	488554.7	390639.8	360596.1
COG2759	240274.7	337638.4	117385.7	755992	376732.7	393124.8	236053.9
COG2805	11498.5	13227.1	NA	NA	NA	NA	5616.02
COG2871	145378.2	308427	168420.1	111783.9	182698.7	129811.7	150360.1
COG2873	84240.1	52781.1	158528.3	103535	90782.7	78903.56	100276.7
COG2876	NA	4370.39	NA	4791.41	3133.23	NA	3004.2
COG2878	NA	NA	NA	13855.8	5716.15	NA	NA
COG2885	24129.5	11885	NA	4459.84	22612.3	4229.09	13086
COG2931	NA	NA	NA	NA	11317.2	NA	NA
COG2996	NA	9648.46	20583.4	12329.2	12520.2	4481.08	10990.7
COG3015	19664	56863.9	93979.2	NA	27962.9	NA	NA
COG3023	20138.2	102302	1416600	28992.9	92049.1	NA	31002.6
COG3119	NA	45207.3	NA	NA	NA	NA	NA
COG3172	34916.7	107858	199726	35490.4	93562.8	NA	21077
COG3188	7608.38	27485.6	NA	3236.66	NA	NA	36475.5
COG3203	61864.56	433275.6	NA	32322.7	NA	NA	61083.8
COG3209	34340.4	62843.5	NA	NA	NA	NA	5749.02
COG3210	29200.9	27093.6	NA	53984.9	34370	NA	5671.6
COG3250	NA	4689.99	NA	29968.95	3933.15	NA	4035.14
COG3264	10533.1	NA	NA	7075.96	NA	2612.89	10976.1
COG3279	4384.88	19980.8	28014.3	5144.07	6525.35	NA	5679.47
COG3291	13711.9	NA	NA	NA	93397.7	NA	26904.8
COG3315	NA	NA	7535.31	8913.63	6070.05	NA	4147.05
COG3363	100186	115900.46	17419.9	183631.2	66428.96	81629.05	70798.8
COG3383	NA	NA	NA	23354.1	NA	NA	NA
COG3444	22709.7	94217.4	42815.7	39132.1	145479	1535.56	74793.1
COG3468	NA	NA	NA	NA	NA	4109.45	5908.94
COG3488	15599.3	6227.69	58131.3	20495.6	39408.9	7023.49	NA
COG3507	NA	7697.47	NA	NA	NA	NA	3833.7
COG3525	31722.9	38488.5	12018.8	35156.64	NA	68368	68920.73
COG3533	NA	8209.4	9870.37	NA	6185.24	NA	NA
COG3580	NA	NA	NA	NA	9991.19	NA	NA
COG3664	NA	14388.9	NA	NA	14385.8	NA	NA
COG3716	NA	NA	169612	NA	NA	NA	22992.2
COG3804	NA	NA	1683.91	NA	6531.68	5221.69	NA
COG3830	NA	NA	NA	7836.85	NA	NA	NA
COG3842	NA	112702.36	94318.5	147014	122631	29292.43	134174
COG3875	NA	12298.3	NA	28048.4	29754.4	11106.9	NA
COG3937	NA	NA	12295.1	4997	7293.24	NA	6544.27
COG3958	NA	NA	NA	NA	6464.28	NA	NA
COG3959	1506.61	16507.8	4232.42	25238.64	18001.91	3825.31	13409.98
COG3968	663431.8	320697.1	320748.1	393114.6	202682.78	242773	531909.9
COG3976	62357.8	NA	143635	22922.8	62015.1	3651.35	18753.1
COG4108	NA	15460.8	12254.9	19411.7	22123.1	12372.1	16290.9
COG4146	21702.7	NA	NA	NA	NA	NA	26525
COG4154	99058.1	168754	51073.1	304741	113012	57007.3	69173.2
