KEGGnum	b14_10	b14_20
K01835	5992.06	21983.91
K01847	12924	NA
K01848	72155.9	258599
K01854	16756.4	24763.93
K01866	NA	27406.4
K01867	NA	12392.9
K01868	100083.43	167554.67
K01869	35004.07	95152.8
K01870	5648.02	7465.75
K01872	52056.4	71729.9
K01875	144559.7	200245.6
K01876	8559.96	73359.2
K01880	306666.6	262362.2
K01881	4816.72	33278.5
K01885	NA	38471.8
K01886	26963.5	23621.5
K01887	20205.1	NA
K01889	33044.01	35849.9
K01892	20893.1	20869.2
K01893	85790.6	118377.7
K01915	393114.6	202682.78
K01923	124120.8	114030.2
K01933	41724.52	66315.3
K01937	23727.9	25287.2
K01938	755992	376732.7
K01939	48915.52	45390
K01940	21940.27	22640.9
K01945	8771.71	20073.2
K01951	98178.95	75388.5
K01952	257132.1	265952.9
K01953	42235.4	NA
K01955	127662.2	139054
K01995	7094.4	NA
K02005	3394.13	2803.46
K02030	NA	21191.7
K02071	10375.8	NA
K02078	27540	NA
K02111	221154.3	210565.8
K02112	283723.98	514163.07
K02117	5280.89	NA
K02118	15617.1	17912.4
K02132	38002.9	54131.3
K02190	64738.5	44388.1
K02338	13241.05	2798.56
K02355	1334317.48	767505.42
K02356	13504.8	24502.9
K02357	259047.76	15387.25
K02358	5394336.4	5480726.26
K02390	99469.9	13375.5
K02406	894525.8	511893.1
K02431	304741	113012
K02469	10637.8	11550.4
K02470	NA	41774
K02477	5144.07	6525.35
K02519	65017	41062.9
K02520	NA	4773.69
K02557	41436.6	299084
K02564	5461.3	28463.2
K02600	NA	61498.9
K02601	7741.5	4102.13
K02745	39132.1	145479
K02837	19411.7	22123.1
K02838	21557.3	NA
K02863	133817.8	367384.2
K02867	784569.4	549682.87
K02871	124852.4	407305
K02874	137528	NA
K02876	172102.15	355704.5
K02878	14819.8	101263
K02881	44140.3	40238.46
K02884	264269	123503
K02886	545018.42	1106358.4
K02888	35627.1	NA
K02890	1548580	650327
K02904	394565	191442.74
K02906	224191	218157.9
K02909	56845.3	NA
K02926	118143.6	100534
K02931	521270.16	267890.3
K02933	121321	51845.9
K02935	325257.3	238541.6
K02946	9054.82	11278.2
K02948	34995.8	42067.5
K02950	1048131	2149893
K02952	NA	48322.6
K02961	68404.8	27670.6
K02965	80105.4	199034.5
K02967	89204.7	164284.3
K02970	38764.44	39195.7
K02982	418919	300276
K02986	471307	195168.7
K02988	461752.7	783339
K02990	NA	2193.68
K02992	293051.04	515503
K02994	1016112.3	552192.32
K02996	17338.1	77170.7
K03040	101412	121376
K03043	237546.48	537990.9
K03046	595569.3	597962.2
K03070	118644.5	107013.4
K03076	29641.95	35229.3
K03077	18509.2	NA
K03086	5322.53	NA
K03100	24998.3	56977.6
K03106	6089.73	5171.43
K03110	9685.58	NA
K03111	17733.5	7334.92
K03147	20678.5	36984.6
K03150	8686.78	NA
K03168	NA	6266.81
K03218	NA	4623.81
K03286	4459.84	NA
K03310	14792.8	15448.2
K03324	3197.35	10316.4
K03340	27788.9	18675.5
K03406	1094.53	NA
K03431	1674.56	6776.96
K03442	7075.96	NA
K03521	80578.78	164300.14
K03530	41222	34420.6
K03531	121418	131543
K03545	67214.4	60748.1
K03553	19477.7	41445.5
K03569	43160.5	64561.8
K03612	7550.15	NA
K03615	7890.78	9815
K03616	13855.8	5716.15
K03628	14081.15	24981.7
K03654	5542.27	11186.6
K03695	91300.3	137166.96
K03696	10107.1	NA
K03702	17048.6	14847.9
K03704	123853	19457.4
K03737	2387869.7	2615914.1
K03768	50335.2	32986.8
K03770	19223.8	NA
K03816	12993	NA
K03856	4791.41	3133.23
K03969	12379.3	NA
K04042	23846.5	10132.7
K04043	1323781.3	1375200.4
K04072	179404	428660
K04077	1151336.81	580689.4
K04079	37685	89258.34
K04488	64831.4	26974.5
K04567	101015.58	120794.6
K05349	3162.61	NA
K06001	23780.3	6894.56
K06023	51239.7	32439.9
K06076	6633.92	10574
K06217	63487.8	44108.8
K06871	10295.8	12719.6
K06901	3585.48	3838.14
K06942	4357.23	21821.4
K06969	NA	1347.91
K07030	6327.24	7681.55
K07056	6354.59	NA
K07107	NA	20619.6
K07166	7836.85	NA
K07335	NA	25343.4
K07576	42416.1	70486.6
K07775	59533.1	53071.4
K08301	NA	29984.2
K08303	NA	3431.99
K08483	9574.43	3950.92
K08659	16274.1	9286.27
K09013	15412.5	13069
K09014	NA	13762.7
K09759	42333.3	161179
K09810	10662.6	19767.6
K09955	NA	6185.24
K10112	147014	122631
K10192	5884.86	16562.7
K10200	166747.4	78175.3
K10240	321745	149701.27
K10254	172936.9	123247.4
K10441	94539.7	65635.2
K10540	735717	371754
K10542	163943.7	70472
K10672	82992.4	53434.4
K11085	NA	12540.2
K11176	183631.2	66428.96
K11755	3642.42	6848.06
K12132	23401.5	NA
K12373	35156.64	NA
K12524	30627	74026.4
K12573	NA	15805.6
K12574	32525.83	25479.4
K14260	24353	NA
K14534	6061.43	23100.3
K15533	58212	15656.3
K15580	40826.6	NA
K15633	48484	99775.8
K15986	4917.06	NA
K16150	NA	6838.66
K16370	6775.68	46818
K18119	33401.9	31049.6
K18682	NA	100753
K18700	3778.99	6922.27
K19339	22922.8	62015.1
K19802	10953.2	NA
K19824	31752.6	48118.7
K20038	NA	4391.82
K20509	31139.8	10446.5
K21071	72946	72656.33
K21571	140363	292539
K21572	167995.68	208768.8
K21573	99440.7	150996
K21574	73611.8	133690.6
K21636	18967.3	17514.7
K22339	61787.8	27241
K22373	28048.4	29754.4
K25674	13527.1	10173
K25950	NA	6531.68
K26113	7081.56	11468.7
